=== 03:46:41
rule 17 | compiling | - attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | compiling | - attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | compiling | - attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | compiling | - attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | compiling | - attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | compiling | - attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | compiling | - attempts | No erp entry (in the erp source or in others) with the same 
=== 03:47:42
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | compiling | - attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | compiling | - attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | compiling | - attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | compiling | - attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | compiling | - attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | compiling | - attempts | No erp entry (in the erp source or in others) with the same 
=== 03:47:52
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | compiling | - attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | compiling | - attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | compiling | - attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | compiling | - attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | compiling | - attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | compiling | - attempts | No erp entry (in the erp source or in others) with the same 
=== 03:48:03
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | compiling | - attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | compiling | - attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | compiling | - attempts | No erp entry (in the erp source or in others) with the same 
=== 03:48:13
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | compiling | - attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | compiling | - attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | compiling | - attempts | No erp entry (in the erp source or in others) with the same 
=== 03:48:23
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | compiling | - attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | compiling | - attempts | No erp entry (in the erp source or in others) with the same 
=== 03:48:33
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | compiling | - attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | compiling | - attempts | No erp entry (in the erp source or in others) with the same 
=== 03:48:43
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | compiling | - attempts | No erp entry (in the erp source or in others) with the same 
=== 03:48:53
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | compiling | - attempts | No erp entry (in the erp source or in others) with the same 
=== 03:49:04
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | compiling | - attempts | No erp entry (in the erp source or in others) with the same 
=== 03:49:14
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:49:24
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:49:34
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:49:44
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:49:54
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:50:04
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:50:15
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:50:25
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:50:35
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:50:45
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:50:55
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:51:05
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:51:16
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:51:26
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:51:36
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:51:46
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:51:56
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:52:06
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:52:17
